,p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0,0.5,0.9,-0.866,-0.682,0.6381547764971762,0.02008597874715903,0.02008597874715903,0.0002706790162991801,0.0002706790162991801,0.32830486053158,0.005658491000581006,0.005658491000581006,0.0009807129530322034,0.0009807129530322034,0.5144596148502427,0.005306292723135665,0.005306292723135665,0.0028128393402048197,0.0028128393402048197,0.9,kaonID
1,0.5,0.9,-0.682,-0.4226,0.8522604581558199,0.00570587886168655,0.00570587886168655,8.46247396648625e-05,8.46247396648625e-05,0.6530567121875507,0.003024668492972033,0.003024668492972033,0.0025624880462873367,0.0025624880462873367,0.7662642399257616,0.0025535973966933087,0.0025535973966933087,0.00023987128130564805,0.00023987128130564805,0.9,kaonID
2,0.5,0.9,-0.4226,-0.1045,0.9836682791827481,0.002624820499854005,0.002624820499854005,0.0001229483326468106,0.0001229483326468106,0.9093309678280408,0.0018044021422428912,0.0018044021422428912,0.0037626407974287175,0.0037626407974287175,0.9244284756071749,0.001588340102301899,0.001588340102301899,0.0008842978478779129,0.0008842978478779129,0.9,kaonID
3,0.5,0.9,-0.1045,0.225,0.9626487051927275,0.002880061494243311,0.002880061494243311,1.0576691643615632e-06,1.0576691643615632e-06,0.8591470481728641,0.001902977169206054,0.001902977169206054,0.0035936987129245868,0.0035936987129245868,0.8924824222361138,0.0016429198287818971,0.0016429198287818971,0.0012123143958895355,0.0012123143958895355,0.9,kaonID
4,0.5,0.9,0.225,0.5,0.9709056606471181,0.003212796231708066,0.003212796231708066,5.662533417971627e-05,5.662533417971627e-05,0.8442794133342761,0.0020634637999712075,0.0020634637999712075,0.0038684899131916643,0.0038684899131916643,0.8695792470419378,0.0018133726982107465,0.0018133726982107465,0.0026955588710686484,0.0026955588710686484,0.9,kaonID
5,0.5,0.9,0.5,0.766,0.9787777190526523,0.0030288858892676246,0.0030288858892676246,0.00023522841080292345,0.00023522841080292345,0.8646415351647824,0.0019661339889921526,0.0019661339889921526,0.005054496920328222,0.005054496920328222,0.8833890661116183,0.0017675274976123548,0.0017675274976123548,0.00396334533524989,0.00396334533524989,0.9,kaonID
6,0.5,0.9,0.766,0.8829,0.9829440204565072,0.0041329056646942685,0.0041329056646942685,0.0005097283153137067,0.0005097283153137067,0.8983909272470254,0.0028263919206014446,0.0028263919206014446,0.006513137396333302,0.006513137396333302,0.91397974711702,0.0024496046208973394,0.0024496046208973394,0.00512417323145542,0.00512417323145542,0.9,kaonID
7,0.5,0.9,0.8829,0.9563,0.9627831784813272,0.005345370333320047,0.005345370333320047,0.000669338447821799,0.000669338447821799,0.929164884904056,0.003987727678770636,0.003987727678770636,0.00644143194690916,0.00644143194690916,0.9650821759990657,0.003075269012083448,0.003075269012083448,0.005428186458708462,0.005428186458708462,0.9,kaonID
8,0.9,1.3,-0.866,-0.682,0.12543849677469598,0.4282886393802803,0.4282886393802803,0.00118637501969579,0.00118637501969579,0.0008628867415572788,0.00035451061233716117,0.00035451061233716117,7.974933940354634e-06,7.974933940354634e-06,0.006878962708769833,0.0008323128649855097,0.0008323128649855097,2.4571900950343117e-05,2.4571900950343117e-05,0.9,kaonID
9,0.9,1.3,-0.682,-0.4226,0.917272504787105,0.00875460554940522,0.00875460554940522,6.565236109867811e-05,6.565236109867811e-05,0.4264800746313095,0.0028231003358782348,0.0028231003358782348,0.0009543267872605955,0.0009543267872605955,0.4649437025590271,0.0026638011025344696,0.0026638011025344696,0.0057482398975419735,0.0057482398975419735,0.9,kaonID
