,p_min,p_max,cosTheta_min,cosTheta_max,data_MC_ratio,data_MC_uncertainty_stat_up,data_MC_uncertainty_stat_dn,data_MC_uncertainty_sys_up,data_MC_uncertainty_sys_dn,data_efficiency,data_uncertainty_stat_up,data_uncertainty_stat_dn,data_uncertainty_sys_up,data_uncertainty_sys_dn,MC_efficiency,MC_uncertainty_stat_up,MC_uncertainty_stat_dn,MC_uncertainty_sys_up,MC_uncertainty_sys_dn,threshold,variable
0,0.5,0.9,-0.866,-0.682,0.3622466832592571,0.1585267283412057,0.1585267283412057,0.006800912509124624,0.006800912509124624,0.001560368352207148,0.0002320504421011998,0.0002320504421011998,2.36560837339906e-05,2.36560837339906e-05,0.004307474503749713,0.00023650044771135833,0.00023650044771135833,2.5910726412723892e-05,2.5910726412723892e-05,0.9,kaonID
1,0.5,0.9,-0.682,-0.4226,1.1901137113472007,0.025081538279765392,0.025081538279765392,0.008014241392641175,0.008014241392641175,0.012447089855884181,0.00023254617422454094,0.00023254617422454094,6.181764252322086e-05,6.181764252322086e-05,0.010458739981908249,0.00017501991096609693,0.00017501991096609693,0.000514826740313494,0.000514826740313494,0.9,kaonID
2,0.5,0.9,-0.4226,-0.1045,1.607343026399544,0.019709605220347103,0.019709605220347103,0.003608215793362124,0.003608215793362124,0.014921206617204965,0.00019114505412150756,0.00019114505412150756,1.845791231596186e-06,1.845791231596186e-06,0.009283150125476662,0.00013905058484736955,0.00013905058484736955,0.00045447809118700534,0.00045447809118700534,0.9,kaonID
3,0.5,0.9,-0.1045,0.225,1.5849355186354384,0.015464003840982116,0.015464003840982116,0.0014426090446897355,0.0014426090446897355,0.017500919081567083,0.00017629838165332485,0.00017629838165332485,4.5250433022489545e-06,4.5250433022489545e-06,0.011042038540870498,0.00012955313993647096,0.00012955313993647096,0.000455901949751359,0.000455901949751359,0.9,kaonID
4,0.5,0.9,0.225,0.5,1.5303803041674042,0.01510774495858197,0.01510774495858197,0.002678434965503129,0.002678434965503129,0.015499255078045313,0.0001505413574249832,0.0001505413574249832,4.592547126288163e-06,4.592547126288163e-06,0.010127714683624086,0.00011719530988407946,0.00011719530988407946,0.00033079836391150703,0.00033079836391150703,0.9,kaonID
5,0.5,0.9,0.5,0.766,1.2902327455616784,0.010098601739404503,0.010098601739404503,0.0024001851419122033,0.0024001851419122033,0.020130639290478307,0.00013391636159653625,0.00013391636159653625,1.660577053994028e-05,1.660577053994028e-05,0.01560233171861935,0.00011854466014519736,0.00011854466014519736,0.0005372167704209303,0.0005372167704209303,0.9,kaonID
6,0.5,0.9,0.766,0.8829,1.0139676895296412,0.009372090223191394,0.009372090223191394,0.0020601905054853376,0.0020601905054853376,0.03260328522454991,0.00021648857468510468,0.00021648857468510468,3.971061147653443e-05,3.971061147653443e-05,0.032154165819301306,0.00021266851471372014,0.00021266851471372014,0.0005002878202395658,0.0005002878202395658,0.9,kaonID
7,0.5,0.9,0.8829,0.9563,0.5165567555796234,0.016240074852519257,0.016240074852519257,0.00048330884689673503,0.00048330884689673503,0.026179891659200597,0.00036089376633261617,0.00036089376633261617,8.07161025177805e-06,8.07161025177805e-06,0.050681539591567994,0.00043512289262177383,0.00043512289262177383,0.002403185626350328,0.002403185626350328,0.9,kaonID
8,0.9,1.3,-0.866,-0.682,0.3115585575726813,0.4934914258708561,0.4934914258708561,0.0015494521990138677,0.0015494521990138677,0.00027504750495292203,0.00012430951498737828,0.00012430951498737828,1.8714547267382204e-06,1.8714547267382204e-06,0.0008828115879588965,0.0001749417307392427,0.0001749417307392427,4.16638886536222e-05,4.16638886536222e-05,0.9,kaonID
9,0.9,1.3,-0.682,-0.4226,1.1686523265109732,0.06242688683173227,0.06242688683173227,0.005548797326178967,0.005548797326178967,0.006620187189538856,0.0003002493137191166,0.0003002493137191166,1.616074804622076e-05,1.616074804622076e-05,0.005664804697992184,0.00024300409557079233,0.00024300409557079233,3.1897211428677866e-05,3.1897211428677866e-05,0.9,kaonID
10,0.9,1.3,-0.4226,-0.1045,1.2014044353669036,0.04518477842487543,0.04518477842487543,0.004388864185471242,0.004388864185471242,0.00920543645617051,0.00029686029925648914,0.00029686029925648914,2.7733748652607193e-05,2.7733748652607193e-05,0.007662229458441454,0.00024250768431223355,0.00024250768431223355,0.0002743631974082483,0.0002743631974082483,0.9,kaonID
